"name","geo","cname","region","EQIregionN2","eqi21_n2","eqi21_n2_lowME","eqi21_n2_highME","qualityp21_n2","impartialityp21_n2","corruptionp21_n2","accesInternetMenage","chomage_jeunes","coutTravail","crime_cambriolage","crime_homicide_intentionnel","crime_vol_qualifie","crime_vol_vehicule","dureeMoySejHopitaux","jeuneSansEmploiFormation","mort_infantile","NbLitHopitaux","nbPop_1erJanv","pauvreteExclusion","persSantePour1000Habs","pib_par_reg","pop_densite","popNivParEtude20_24","popNivParEtude25_64","tauxChomage","tauxmort_infantile","tauxRisquePauvrete","pib_hab","log_pib_hab","lit_hop_par_hab","cluster"
"Champagne-Ardenne","FRF2","France","Europe de l'Ouest",1810,0.45,0.176591,0.723409,0.57,0.267,0.464,85.77,16.7,NA,NA,NA,NA,NA,8.8,18.1,46,NA,1310320,NA,290.66,36658.74,51.5,10.6,22.4,8.9,4.3,NA,7118.20194174757,8.87041043624196,NA,"2"
"Chemnitz","DED4","Germany","Europe de l'Ouest",182,0.887,0.682289,1.091711,0.673,0.689,1.2,NA,NA,NA,NA,NA,NA,NA,NA,8.7,23,NA,1413730,NA,NA,41276.93,219.9,NA,5.3,2.3,NA,NA,1877.07730786721,7.53747122266814,NA,"2"
"Comunidad de Madrid","ES30","Spain","Europe du Sud",508,-0.349,-0.725786,0.027786,0.239,-0.583,-0.666,88.92,20.9,NA,13005,51,20832,13739,8,13.6,159,NA,6755828,20.9,569.63,216527.91,839.7,16.1,25.3,11.6,2.4,15.2,2578.63415505538,7.8550151404701,NA,"1"
"Comunidad Foral de Navarra","ES22","Spain","Europe du Sud",505,0.624,0.425811,0.822189,0.985,0.718,0.101,88.35,20.7,NA,854,3,218,207,9.6,14.3,14,NA,657654,12,640.66,19264.77,63.1,13.3,28.3,10.6,2,9.8,3053.05388272583,8.02389764168684,NA,"2"
"Comunitat Valenciana","ES52","Spain","Europe du Sud",513,0.179,-0.027425,0.385425,0.184,0.557,-0.222,81.96,29.6,NA,23268,46,10385,8033,6.9,16,115,NA,5047045,29.3,450.7,104724.32,216.2,20.4,37.9,15.9,2.5,25.1,4843.86308973173,8.48546784038663,NA,"3"
"Corse","FRM0","France","Europe de l'Ouest",1822,0.206,-0.030788,0.442788,0.388,0.486,-0.279,69.91,NA,NA,NA,NA,NA,NA,10.7,11.5,12,NA,346610,NA,307.05,8824.52,39.6,NA,27.5,9.1,3,NA,2228.41414141414,7.70904546412102,NA,"2"
"Cyprus","CY","Cyprus","CY",2801,-0.439,-0.946197,0.068197,-0.122,-0.557,-0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darmstadt","DE71","Germany","Europe de l'Ouest",141,0.852,0.703732,1.000268,0.671,0.775,1.015,NA,7.4,NA,NA,NA,NA,NA,NA,8.4,115,NA,4026618,NA,NA,203858.13,542.2,25,18.8,4.1,NA,NA,3759.83271855404,8.23212974564798,NA,"3"
"Dél-Alföld","HU33","Hungary","Europe de l'Est",1408,-1.139,-1.564209,-0.713791,-1.29,-0.774,-1.227,76.48,8,NA,1738,17,236,610,NA,12.4,50,NA,1222173,16.5,313.95,12617.37,68.1,14.6,13.8,4.5,3.9,15.3,1852.77092511013,7.52443759484953,NA,"2"
"Dél-Dunántúl","HU23","Hungary","Europe de l'Est",1405,-1.147,-1.510665,-0.783335,-1.362,-0.996,-0.954,80.72,9.2,NA,2253,13,182,443,NA,18,33,NA,871105,24.7,331.02,8438.58,63.7,17.3,18.2,4.8,3.6,17.5,1324.73783359498,7.18896985740541,NA,"2"
"Detmold","DEA4","Germany","Europe de l'Ouest",164,0.951,0.716503,1.185497,0.775,0.824,1.148,NA,6.6,NA,NA,NA,NA,NA,NA,8.7,71,NA,2054178,NA,NA,78673.47,316.3,23.7,19.3,4.1,NA,NA,2487.30540625988,7.81895523733348,NA,"4"
"Dolnoslaskie","PL51","Poland","Europe de l'Est",606,-0.894,-1.125605,-0.662395,-0.803,-0.857,-0.924,NA,8.6,NA,4037,39,2340,1517,NA,14.6,109,NA,2857364,13.2,NA,43806.21,144.9,14,6.2,4,3.5,9.9,3023.20289855072,8.01407211080391,NA,"4"
"Drenthe","NL13","Netherlands","Europe de l'Ouest",1303,1.427,1.209861,1.644139,1.228,1.489,1.407,99.09,7.1,NA,1794,NA,83,175,4.3,6.3,14,NA,494771,14.3,297.76,15584.19,184.5,17.1,19.5,3.5,2.4,13.7,844.671544715447,6.73894784731324,NA,"2"
"Dresden","DED2","Germany","Europe de l'Ouest",181,0.934,0.724175,1.143825,0.819,0.677,1.201,NA,NA,NA,NA,NA,NA,NA,NA,8.1,36,NA,1589888,NA,NA,50633.96,205.6,NA,5,3.3,NA,NA,2462.74124513619,7.80903033581573,NA,"4"
"Düsseldorf","DEA1","Germany","Europe de l'Ouest",161,0.503,0.33607,0.66993,0.393,0.507,0.553,NA,6.5,NA,NA,NA,NA,NA,NA,10.7,212,NA,5200090,NA,NA,217052.99,1006.7,25.9,19.5,4.5,NA,NA,2156.08413628688,7.67604895551926,NA,"3"
"Dytiki Ellada","EL63","Greece","Europe du Sud",2111,-1.6,-1.940281,-1.259719,-0.785,-1.86,-1.978,NA,32.9,NA,NA,NA,NA,NA,NA,22.5,24,NA,646670,43.1,493.81,7404.63,59.2,8.9,32.7,17.5,2.4,28.5,1250.78209459459,7.1315243103186,NA,"2"
"Dytiki Makedonia","EL53","Greece","Europe du Sud",2107,-1.131,-1.430413,-0.831587,-0.879,-1.453,-0.936,NA,42.3,NA,NA,NA,NA,NA,NA,28,12,NA,262052,34.9,310.2,3323.23,28.8,NA,23.9,19.8,2.2,21.5,1153.89930555556,7.05090218637667,NA,"2"
"Eastern and Midland","IE06","Ireland","Europe du Nord",1003,0.29,0.071086,0.508914,0.327,0.237,0.272,NA,11.2,NA,NA,NA,NA,NA,NA,12.6,99,NA,2467483,17.3,NA,186167.29,169.8,3.8,11.2,6.4,2.9,9.1,10963.9157832744,9.30236477618873,NA,"4"
"Emilia-Romagna","ITH5","Italy","Europe du Sud",309,-0.501,-0.820713,-0.181287,0.263,-1.028,-0.681,84.08,14.3,NA,NA,NA,NA,NA,8.2,16.1,78,NA,4438937,11,426.09,149361.45,201.9,13.6,31.3,5.5,1.8,9.6,7397.79346210996,8.90893705393158,NA,"3"
"Estonia","EE","Estonia","EE",2301,0.355,0.071228,0.638772,0.198,0.255,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Észak-Alföld","HU32","Hungary","Europe de l'Est",1407,-1.618,-1.991087,-1.244913,-1.514,-1.505,-1.656,76.46,14.9,NA,2861,16,354,490,NA,17.4,71,NA,1435131,24.1,301.39,13232.12,83.1,20.3,20.8,7.1,3.6,18.2,1592.31287605295,7.37294287727881,NA,"2"
"Észak-Magyarország","HU31","Hungary","Europe de l'Est",1406,-1.67,-2.119592,-1.220408,-2.054,-1.216,-1.555,75.48,12,NA,2174,12,324,320,NA,18.3,54,NA,1112263,25.7,206.78,10556.84,84.4,26.1,21.8,6.2,4.9,17.2,1250.81042654028,7.1315469614462,NA,"2"
"Etelä-Suomi","FI1C","Finland","Europe du Nord",803,1.31,1.121902,1.498098,1.217,1.314,1.255,92.7,13.3,NA,1482,13,284,2754,NA,12.1,19,NA,1147484,16.3,NA,43473.55,36.6,15,11.8,7.5,1.8,10.2,11878.0191256831,9.38244483875156,NA,"2"
"Extremadura","ES43","Spain","Europe du Sud",511,0.339,0.152728,0.525272,0.477,0.421,0.082,79.4,35.9,NA,1187,3,441,610,8.8,21.5,26,NA,1057999,38.7,370.35,19385.28,26,22.6,49.7,19.5,1.5,32.3,7455.87692307692,8.91675784913113,NA,"2"
"Flevoland","NL23","Netherlands","Europe de l'Ouest",1306,1.094,0.90608,1.28192,0.924,1.038,1.199,100,7.5,NA,2503,NA,323,372,4.1,8.4,16,NA,428226,13.9,130.49,14631.34,292.5,23,22.1,4.6,2.5,16.1,500.216752136752,6.21504150875987,NA,"2"
"Franche-Comté","FRC2","France","Europe de l'Ouest",1804,0.397,0.137054,0.656946,0.348,0.288,0.511,80.69,12.7,NA,NA,NA,NA,NA,9.5,13.4,55,NA,1176550,NA,305.48,30194.9,72.6,9.6,16.9,7,3.6,NA,4159.07713498623,8.33304848609322,NA,"2"
"Freiburg","DE13","Germany","Europe de l'Ouest",123,0.789,0.594439,0.983561,0.563,0.946,0.771,NA,5.2,NA,NA,NA,NA,NA,NA,6.6,73,NA,2276924,NA,NA,86681.72,244.9,20.4,16.3,3,NA,NA,3539.47407104941,8.17173342759041,NA,"4"
"Friesland (NL)","NL12","Netherlands","Europe de l'Ouest",1302,1.541,1.342381,1.739619,1.487,1.392,1.575,97.65,7.2,NA,2077,NA,97,149,4.2,6.2,25,NA,651435,16.5,243.4,20995.28,191,15.8,21.8,4.5,2.6,15.2,1099.22931937173,7.00236459448547,NA,"2"
"Friuli-Venezia Giulia","ITH4","Italy","Europe du Sud",308,-0.19,-0.51908,0.13908,0.27,-0.531,-0.288,81.9,13.2,NA,NA,NA,NA,NA,7.8,16.9,17,NA,1201510,19,392.55,36879.63,159.9,11.6,29.4,5.7,1.6,10.9,2306.41838649156,7.74345111823638,NA,"2"
"Galicia","ES11","Spain","Europe du Sud",501,-0.432,-0.687128,-0.176872,-0.205,-0.48,-0.563,78.78,24.7,NA,2731,17,1440,1934,8,14.3,52,NA,2696876,25.7,463.74,59105.65,92,16.7,36.1,11.7,2.7,20.2,6424.52717391304,8.76787831544656,NA,"4"
"Gelderland","NL22","Netherlands","Europe de l'Ouest",1305,1.494,1.282146,1.705854,1.398,1.467,1.451,96.23,7,NA,11338,NA,720,1666,4.5,5.7,77,NA,2096603,14.6,382.18,82044.01,415.8,11.8,19,3.9,5.2,13.8,1973.16041366041,7.58739180715774,NA,"4"
"Gießen","DE72","Germany","Europe de l'Ouest",142,0.956,0.761522,1.150478,0.65,0.866,1.247,NA,NA,NA,NA,NA,NA,NA,NA,7.3,32,NA,1048740,NA,NA,36122.45,194.9,23,18.1,3.5,NA,NA,1853.38378655721,7.5247683211685,NA,"2"
"Groningen","NL11","Netherlands","Europe de l'Ouest",1301,1.23,0.933266,1.526734,1.275,1.313,0.966,100,8.6,NA,2864,NA,288,252,4.6,5.7,24,NA,586937,22.9,558.15,23242.89,247.9,10.8,19.6,5.4,5.2,18.7,937.59136748689,6.84331421174846,NA,"2"
"Guadeloupe","FRY1","France","Europe de l'Ouest",1823,-0.687,-1.088993,-0.285007,-1.337,-0.421,-0.228,75.05,35.3,NA,NA,NA,NA,NA,9.1,25.5,39,NA,408142,NA,277.94,9294,247,NA,37.2,17.1,8.5,NA,376.275303643725,5.93032106601099,NA,"2"
"Guyane","FRY3","France","Europe de l'Ouest",1825,-0.834,-1.252465,-0.415535,-1.784,-0.542,-0.084,73.75,27.6,NA,NA,NA,NA,NA,8,38.9,73,NA,290528,NA,227.36,4351,3.4,36.8,52.3,14.6,6.9,NA,12797.0588235294,9.45697064409261,NA,"2"
"Hainaut","BE32","Belgium","Europe de l'Ouest",1122,0.122,-0.078713,0.322713,-0.254,0.264,0.343,78.94,21.4,NA,12435,30,3266,3942,6.5,18.4,51,8195,1349861,NA,257.57,33109.38,354.8,19.3,26.9,10.3,2.9,NA,933.184329199549,6.838602747464,23.097519729425,"2"
"Hamburg","DE60","Germany","Europe de l'Ouest",106,0.868,0.719391,1.016609,1.011,0.731,0.766,NA,7.4,NA,NA,NA,NA,NA,7.9,8.8,64,NA,1852478,NA,NA,119141.89,2597.5,21.4,15.1,4.4,NA,NA,458.679076034649,6.12835078476729,NA,"4"
"Hannover","DE92","Germany","Europe de l'Ouest",152,0.821,0.607721,1.034279,0.691,0.639,1.04,NA,NA,NA,NA,NA,NA,NA,NA,9.8,70,NA,2147704,NA,NA,84486.53,239,22.1,18.7,2.8,NA,NA,3535.00125523013,8.17046893341693,NA,"4"
"Haute-Normandie","FRD2","France","Europe de l'Ouest",1806,0.443,0.197622,0.688378,0.335,0.524,0.42,85,15.7,NA,NA,NA,NA,NA,9,19,87,NA,1849900,NA,276.13,51352.63,151.2,15.4,18.3,7.6,3.6,NA,3396.33796296296,8.13045306043106,NA,"4"
"Helsinki-Uusimaa","FI1B","Finland","Europe du Nord",802,1.514,1.328285,1.699715,1.501,1.422,1.45,98.1,11.9,NA,1544,26,651,4275,NA,9,30,NA,1702678,11.5,NA,93282.21,184.7,14.4,12.4,7.7,1.8,7.7,5050.47157552788,8.52723689920229,NA,"4"
"Hovedstaden","DK01","Denmark","Europe du Nord",901,1.149,0.948403,1.349597,1.351,1.133,0.836,98.08,8.9,NA,15625,21,7623,5992,NA,8,80,5436,1855084,17.3,NA,128902.92,756,20.6,13.2,5.7,2.8,13.4,1705.06507936508,7.44135855870476,7.19047619047619,"4"
"Île de France","FR10","France","Europe de l'Ouest",1801,0.002,-0.26238,0.26638,-0.177,0.366,-0.182,90.79,14.3,NA,41053,139,57179,47777,9.5,12.4,708,NA,12348605,NA,385.42,710090.66,1026.8,9.1,17.1,8,3.9,NA,6915.56934164394,8.84153057500371,NA,"1"
"Illes Balears","ES53","Spain","Europe du Sud",514,0.065,-0.118039,0.248039,-0.064,0.293,-0.042,89.32,24.3,NA,3476,6,1476,1970,8.7,17.9,32,NA,1219775,22,490.04,26788.82,241.2,23,35.3,14.8,2.2,17.6,1110.64759535655,7.01269854342368,NA,"2"
"Ionia Nisia","EL62","Greece","Europe du Sud",2110,-1.555,-2.003938,-1.106062,-1.339,-1.506,-1.648,NA,21.4,NA,NA,NA,NA,NA,NA,26.3,8,NA,202371,18.9,513.91,2808.96,89.4,NA,30.8,13.2,3.5,20.1,314.201342281879,5.75003399787439,NA,"2"
"Ipeiros","EL54","Greece","Europe du Sud",2108,-0.922,-1.278097,-0.565903,0.23,-1.452,-1.442,NA,27.1,NA,NA,NA,NA,NA,NA,26.2,6,NA,330985,29,714.15,3715.5,36.8,NA,25.7,15.1,2.3,21.1,1009.64673913043,6.91735578541668,NA,"2"
